event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
13,1,11,0.078,-0.028,-0.048,0.596,-0.787,-0.158,31.210,0.067,1.664,14.798,2.380
13,1,12,0.092,-0.046,-0.051,0.555,-0.635,0.537,10.570,0.056,1.720,12.798,2.000
13,1,13,0.103,-0.058,-0.041,0.919,-0.391,-0.053,35.744,0.047,1.767,11.707,1.091
13,1,14,0.118,-0.064,-0.042,0.286,0.524,-0.802,119.646,0.043,1.809,9.526,2.181
13,1,15,0.121,-0.058,-0.052,-0.621,0.754,-0.215,170.388,0.034,1.843,7.499,2.027
13,1,16,0.116,-0.052,-0.054,-0.844,-0.407,0.350,95.444,0.028,1.871,3.647,3.852
13,1,17,0.113,-0.053,-0.053,-0.621,0.516,-0.589,163.566,0.016,1.887,2.159,1.489
13,1,18,0.112,-0.052,-0.054,-0.621,0.516,-0.589,163.566,0.009,1.897,0.000,2.159
14,1,0,0.000,0.000,0.000,0.198,0.979,-0.038,0.000,0.000,0.000,50.000,0.000
14,1,2,0.031,0.155,-0.006,0.090,-0.181,-0.979,97.015,0.332,0.334,45.199,4.801
14,1,3,0.043,0.131,-0.136,0.090,-0.973,-0.213,157.972,0.283,0.617,38.051,7.148
14,1,4,0.052,0.033,-0.158,0.257,-0.300,-0.919,101.985,0.215,0.832,32.225,5.826
14,1,5,0.072,0.010,-0.229,-0.747,0.399,-0.532,74.742,0.166,0.999,28.046,4.178
14,1,6,0.026,0.035,-0.262,0.896,0.294,0.333,63.077,0.135,1.133,24.547,3.500
14,1,7,0.071,0.049,-0.245,0.667,0.608,0.431,44.682,0.111,1.244,21.203,3.344
14,1,8,0.098,0.074,-0.228,-0.887,-0.459,0.057,128.852,0.090,1.334,18.720,2.483
14,1,9,0.068,0.059,-0.226,-0.084,-0.960,0.267,165.278,0.076,1.409,15.763,2.957
14,1,10,0.066,0.034,-0.219,0.324,0.263,-0.909,69.098,0.060,1.470,15.092,0.671
14,1,11,0.074,0.040,-0.241,0.803,-0.549,-0.232,111.702,0.057,1.527,11.255,3.836
